ID,GrossMonthlyIncome,CreditCardPayment,CarPayment,StudentLoanPayments,AppraisedValue,DownPayment,LoanAmount,MonthlyMortgagePayment,CreditScore,LTV,MonthlyDebt,DTI,FEDTI,Approved
1,3103.0,317.0,374.0,250.0,268468.0,32216.16,236251.84,1127.9,778,0.88,1818.9,0.5861746696745086,0.3634869481147277,N
2,2939.0,368.0,395.0,228.0,335467.0,30192.03,305274.97,2240.0,546,0.9099999999999999,3003.0,1.0217761143246002,0.7621640013610071,N
3,4676.0,222.0,352.0,368.0,461177.0,36894.16,424282.84,2277.64,736,0.92,2851.64,0.6098460222412317,0.4870915312232677,N
4,8469.0,224.0,416.0,400.0,326904.0,22883.28,304020.72,1451.44,761,0.9299999999999999,2091.44,0.24695241468886528,0.1713826898098949,R-LTV
5,2406.0,497.0,385.0,444.0,472661.0,23633.05,449027.95,2987.39,615,0.9500000000000001,3869.39,1.6082252701579385,1.2416417290108062,N
6,9128.0,219.0,424.0,220.0,403922.0,117137.38,286784.62,1719.42,661,0.71,2362.42,0.2588102541630149,0.18836765994741456,Y
7,8717.0,249.0,363.0,395.0,365483.0,73096.6,292386.4,1232.71,811,0.8,1844.71,0.21162211770104394,0.141414477457841,Y
8,8194.0,315.0,353.0,303.0,269907.0,72874.89,197032.11,1310.86,648,0.73,1978.86,0.24150109836465705,0.15997803270685867,Y
9,8582.0,261.0,435.0,204.0,248121.0,12406.05,235714.95,1265.37,742,0.9500000000000001,1961.37,0.22854462829177347,0.14744465159636447,N
10,8832.0,351.0,470.0,203.0,408375.0,20418.75,387956.25,2846.69,554,0.95,3667.69,0.4152728713768116,0.3223154438405797,N
11,2829.0,254.0,368.0,412.0,472566.0,80336.22,392229.78,1872.56,780,0.8300000000000001,2494.56,0.8817815482502651,0.6619158713326263,N
12,7997.0,476.0,415.0,304.0,476901.0,100149.21,376751.79,2258.82,658,0.7899999999999999,3149.82,0.39387520320120045,0.28245842190821563,N
13,8815.0,381.0,355.0,358.0,447858.0,62700.12,385157.88,2067.61,733,0.86,2803.61,0.31804991491775386,0.23455587067498584,R-LTV
14,4353.0,407.0,438.0,424.0,401394.0,76264.86,325129.14,2385.68,525,0.81,3230.68,0.7421732138754882,0.5480542154835745,N
15,8909.0,419.0,422.0,449.0,390002.0,81900.42,308101.58,2260.74,569,0.79,3101.74,0.34815804242900433,0.2537591199910203,N
16,9580.0,399.0,399.0,385.0,285104.0,37063.52,248040.48,1331.53,706,0.87,2129.5299999999997,0.22228914405010436,0.13899060542797495,R-LTV
17,4030.0,341.0,420.0,205.0,465246.0,55829.52,409416.48,3004.15,574,0.88,3765.15,0.9342803970223326,0.7454466501240695,N
18,7012.0,366.0,475.0,406.0,413464.0,70288.88,343175.12,2518.1,570,0.83,3359.1,0.4790501996577296,0.3591129492298916,N
19,3519.0,288.0,449.0,271.0,241549.0,67633.72,173915.28,1276.13,532,0.72,2013.13,0.5720744529695937,0.36263995453253767,N
20,4450.0,471.0,468.0,230.0,484448.0,92045.12,392402.88,1873.39,771,0.81,2812.3900000000003,0.6319977528089888,0.4209865168539326,N
21,2862.0,444.0,362.0,434.0,499329.0,79892.64,419436.36,2514.73,695,0.84,3320.73,1.1602830188679245,0.8786617749825297,N
22,4168.0,322.0,439.0,369.0,442517.0,123904.76,318612.24,2337.86,574,0.72,3098.86,0.7434884836852208,0.5609069097888676,N
23,5472.0,314.0,443.0,379.0,310350.0,27931.5,282418.5,2072.29,650,0.91,2829.29,0.5170486111111111,0.3787079678362573,N
24,6748.0,311.0,426.0,296.0,342326.0,54772.16,287553.84,2109.97,533,0.8400000000000001,2846.97,0.4218983402489626,0.31268079430942497,N
25,3060.0,300.0,411.0,404.0,387148.0,19357.4,367790.6,1974.38,732,0.95,2685.38,0.8775751633986928,0.6452222222222223,N
26,8350.0,490.0,434.0,377.0,432555.0,38929.95,393625.05,2888.28,592,0.9099999999999999,3812.28,0.4565604790419162,0.34590179640718566,N
27,2527.0,232.0,377.0,322.0,313293.0,56392.74,256900.26,1885.04,585,0.8200000000000001,2494.04,0.9869568658488326,0.745959635931935,N
28,5236.0,337.0,367.0,240.0,283298.0,70824.5,212473.5,1413.59,639,0.75,2117.59,0.40442895339954166,0.2699751718869366,N
29,7993.0,392.0,360.0,381.0,412215.0,20610.75,391604.25,2102.22,729,0.95,2854.22,0.3570899537094958,0.26300763167771796,R-LTV
30,6461.0,295.0,381.0,395.0,239093.0,57382.32,181710.68,1089.45,666,0.76,1765.45,0.27324717535985144,0.16861940876025383,Y
31,6296.0,255.0,465.0,362.0,329293.0,69151.53,260141.47,1096.77,812,0.79,1816.77,0.2885594027954257,0.1742010800508259,Y
32,7057.0,348.0,439.0,422.0,297387.0,14869.35,282517.65,2073.01,501,0.9500000000000001,2860.01,0.40527277880119034,0.2937523026781919,N
33,6828.0,274.0,361.0,215.0,473699.0,123161.74,350537.26,1673.52,798,0.74,2308.52,0.33809607498535443,0.24509666080843584,Y
34,3138.0,486.0,374.0,441.0,374944.0,89986.56,284957.44,1895.83,615,0.76,2755.83,0.8782122370936902,0.6041523263224984,N
35,9391.0,282.0,479.0,378.0,364140.0,43696.8,320443.2,1529.84,794,0.88,2290.84,0.24393994249813652,0.16290490895538282,R-LTV
36,2280.0,251.0,440.0,275.0,322941.0,35523.51,287417.49,1723.21,687,0.89,2414.21,1.0588640350877194,0.7557938596491228,N
37,2948.0,487.0,438.0,240.0,455446.0,45544.6,409901.4,2200.44,723,0.9,3125.44,1.0601899592944368,0.7464179104477612,N
