ID,GrossMonthlyIncome,CreditCardPayment,CarPayment,StudentLoanPayments,AppraisedValue,DownPayment,LoanAmount,MonthlyMortgagePayment,CreditScore
1,3103.00,317.00,374.00,250.00,268468.00,32216.16,236251.84,1127.90,778
2,2939.00,368.00,395.00,228.00,335467.00,30192.03,305274.97,2240.00,546
3,4676.00,222.00,352.00,368.00,461177.00,36894.16,424282.84,2277.64,736
4,8469.00,224.00,416.00,400.00,326904.00,22883.28,304020.72,1451.44,761
5,2406.00,497.00,385.00,444.00,472661.00,23633.05,449027.95,2987.39,615
6,9128.00,219.00,424.00,220.00,403922.00,117137.38,286784.62,1719.42,661
7,8717.00,249.00,363.00,395.00,365483.00,73096.60,292386.40,1232.71,811
8,8194.00,315.00,353.00,303.00,269907.00,72874.89,197032.11,1310.86,648
9,8582.00,261.00,435.00,204.00,248121.00,12406.05,235714.95,1265.37,742
10,8832.00,351.00,470.00,203.00,408375.00,20418.75,387956.25,2846.69,554
11,2829.00,254.00,368.00,412.00,472566.00,80336.22,392229.78,1872.56,780
12,7997.00,476.00,415.00,304.00,476901.00,100149.21,376751.79,2258.82,658
13,8815.00,381.00,355.00,358.00,447858.00,62700.12,385157.88,2067.61,733
14,4353.00,407.00,438.00,424.00,401394.00,76264.86,325129.14,2385.68,525
15,8909.00,419.00,422.00,449.00,390002.00,81900.42,308101.58,2260.74,569
16,9580.00,399.00,399.00,385.00,285104.00,37063.52,248040.48,1331.53,706
17,4030.00,341.00,420.00,205.00,465246.00,55829.52,409416.48,3004.15,574
18,7012.00,366.00,475.00,406.00,413464.00,70288.88,343175.12,2518.10,570
19,3519.00,288.00,449.00,271.00,241549.00,67633.72,173915.28,1276.13,532
20,4450.00,471.00,468.00,230.00,484448.00,92045.12,392402.88,1873.39,771
21,2862.00,444.00,362.00,434.00,499329.00,79892.64,419436.36,2514.73,695
22,4168.00,322.00,439.00,369.00,442517.00,123904.76,318612.24,2337.86,574
23,5472.00,314.00,443.00,379.00,310350.00,27931.50,282418.50,2072.29,650
24,6748.00,311.00,426.00,296.00,342326.00,54772.16,287553.84,2109.97,533
25,3060.00,300.00,411.00,404.00,387148.00,19357.40,367790.60,1974.38,732
26,8350.00,490.00,434.00,377.00,432555.00,38929.95,393625.05,2888.28,592
27,2527.00,232.00,377.00,322.00,313293.00,56392.74,256900.26,1885.04,585
28,5236.00,337.00,367.00,240.00,283298.00,70824.50,212473.50,1413.59,639
29,7993.00,392.00,360.00,381.00,412215.00,20610.75,391604.25,2102.22,729
30,6461.00,295.00,381.00,395.00,239093.00,57382.32,181710.68,1089.45,666
